Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Poncho English;0,28;0;23;0;0;0;1,9; --;0;0;0,00;0
Alpaca Generic English;0,21;2;292;0,0068;0,14;0,29;3; --;0;0;0,00;0
Poncho English;0,02;2;65;0,0308;0,01;0,02;1,8;9;0;0;0,00;0
Clothing English;0,3;2;22;0,0909;0,12;0,25;2;7;0;0;0,00;0
Bolivian Alpaca English;0,33;6;214;0,028;0,27;1,6;1,6;4;0;0;0,00;0
Sweater English;0,12;104;7987;0,013;0,2;20,85;3,1;6;0;0;0,00;0
Peruvian Alpaca Clothing English;0,08;16;620;0,0258;0,04;0,72;2,5;7;0;0;0,00;0
Clothing English;0,02;0;3;0;0;0;2,7;6;0;0;0,00;0
Poncho English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,46;0;10;0;0;0;1,6; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,14;0;15;0;0;0;2,7;8;0;0;0,00;0
Poncho English;0,21;1;10;0,1;0,17;0,17;3,2; --;0;0;0,00;0
Poncho English;0,15;0;3;0;0;0;3,7; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,4;24;1014;0,0237;0,24;5,66;1,3;5;2;2,83;833,00;2
Clothing English;0,02;0;5;0;0;0;2,2; --;0;0;0,00;0
Hat English;0,56;25;2207;0,0113;0,24;6,05;1,4;5;2;3,02;800,00;2
Poncho English;0,22;4;36;0,1111;0,14;0,54;2;7;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,02;0;0;0;0;0;0;8;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,21;1;20;0,05;0,2;0,2;2,4;6;0;0;0,00;0
Clothing English;0,21;0;21;0;0;0;5;5;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,23;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,21;0;4;0;0;0;1,5;9;0;0;0,00;0
Peruvian Alpaca Clothing English;0,93;20;84;0,2381;0,34;6,88;1,8;8;0;0;0,00;0
Fur English;0,42;6;92;0,0652;0,19;1,12;1,3;5;0;0;0,00;0
Sweater English;1;5;43;0,1163;0,35;1,73;4,1;9;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0;6;0;0;0,00;0
Sweater English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,17;268;19883;0,0135;0,05;12,5;2,7;2;0;0;0,00;0
Cardigans English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
