Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Vest English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,81;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,08;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,47;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,13;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,19;0;0;0;0;0;0;9;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,43;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;1,73;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Coat English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1,95;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Shawl English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0;6;0;0;0,00;0
Scarf English;0,13;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;7;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;1;0;0;0;0;0;0;8;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;8;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,46;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,21;0;0;0;0;0;0;7;0;0;0,00;0
Bolivian Alpaca English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0;6;0;0;0,00;0
Fur English;0,98;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Kids English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Kids English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Coat English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;7;0;0;0,00;0
Shawl English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;9;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,32;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,08;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0;6;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,27;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Coat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;1;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;3,07;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,63;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,03;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,37;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,07;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;1;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,42;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;9;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,21;0;0;0;0;0;0;9;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,42;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,26;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,56;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,24;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,4;0;0;0;0;0;0;6;0;0;0,00;0
Toddlers English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,27;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;2,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;7;0;0;0,00;0
Poncho English;0,17;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1,43;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;1,31;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,23;0;0;0;0;0;0;8;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,6;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,17;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;5;0;0;0,00;0
Alpaca Generic English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,27;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
